id,firstname,lastname,nickname,password,email,rating,balance,creation_date,region
1,Natasha,Schultz,80848e35-1db3-41ec-969b-4576af35b215,1Jv6SD6JlwdnzKa,Gerald72@gmail.com,99,155.63,"2022-01-21 10:15:28",2
2,Trinity,Dibbert,847aac60-573a-42c0-945f-ea87b98dd3d2,M5F9fy0bTSsO8Nb,Chanelle_Bradtke26@yahoo.com,180,532.1,"2021-06-23 19:07:19",3
3,Abraham,Cummerata,0abdeb89-7587-40ce-afba-59a65320369f,7uF4PDHl6jzfBB4,Darron_Wiegand@hotmail.com,122,473.48,"2022-02-10 17:09:55",9
4,Jarret,Runolfsdottir,931913cc-9d2f-4645-be6e-419704949a2f,XW7BkT8Wzcsv5u9,Noel.Kuphal96@hotmail.com,97,141.2,"2021-04-11 17:30:54",7
5,Marjorie,Ratke,25126e92-eac0-4fe8-b428-e157a8cc355c,N5SMMPu3ZMmx5SW,Aaliyah.Moore41@yahoo.com,21,22.31,"2021-04-13 06:45:49",3
6,Alexandria,Crooks,59441e4b-60be-41b6-9b49-37f39b454fea,c9SWlKgkGQChekI,Kamille.Wisoky87@gmail.com,134,824.16,"2021-12-03 23:28:36",6
7,Shanel,Schinner,7bc0bca5-8f77-41f5-9a70-e64efd8be7e7,stEAWlkZh5t5yIW,Nellie22@gmail.com,123,791.1,"2021-07-15 02:07:26",4
8,Franz,Rippin,50a17bf4-0d24-4d17-896e-2281922e8d25,zhlzKSy8NcTAhFF,Lawson57@hotmail.com,5,804.34,"2021-06-26 06:36:57",1
9,Haylie,Sipes,303f464a-79a9-4585-bac8-c7ba7a1b07f7,EjldP_G7MVkK6Y2,Lauryn47@yahoo.com,104,462.05,"2021-08-18 01:32:05",7
10,Everardo,Olson,335df32c-ab7a-4f6d-8959-848da30f0a13,FxIOn5yoKD6b5hW,Talon50@gmail.com,150,930.12,"2021-12-05 15:37:19",2
11,Priscilla,Flatley,7f2c1048-10af-4486-97ac-fecc7338ff7c,AvNKeZ8C0kMSNNd,Dalton_Huels@yahoo.com,100,77.48,"2021-05-08 10:41:09",9
12,Tyler,Conn,e3673e66-5411-49a5-93cc-14c7545c6794,z7mnX9SByZ_0a8O,Monty_Casper84@gmail.com,-46,966.35,"2021-06-21 11:09:36",8
13,Bartholome,Wyman,fa33f9b3-25a7-4be4-bd87-4c654eff4d77,73DzSM8COzFHCqt,Joanie.Hand@yahoo.com,167,881.16,"2021-07-17 15:48:44",6
14,Josiah,Considine,f54b776f-3125-4062-96e7-d09bee0e84f8,rt00TBZzMDU56fh,Nola.Weissnat@hotmail.com,3,320.85,"2022-01-29 09:07:14",5
15,Otho,McDermott,5a784d9c-d2fd-4a7b-91a2-b70e840f5d48,LqzXxo0dvxmADHP,Elinor.Braun@hotmail.com,195,443.67,"2021-12-17 10:43:01",2
16,Ronaldo,Sipes,bcc67833-6346-4c49-813f-32445bbb59f9,JDrFTNytV4hA_Ub,Deanna23@gmail.com,11,873.1,"2021-05-28 01:10:25",7
17,Laron,Huel,b9eb841f-fb87-4024-a67c-03a5e55aeb72,Q8vEMrrJ7h_OlCr,Dameon66@hotmail.com,83,917.31,"2021-04-14 16:46:04",8
18,Vincenzo,Abbott,18ecb7e2-0978-4ee6-a998-dfbce899bec7,pO7PORlUUwDWsP2,Price_Hermiston@hotmail.com,184,734.56,"2021-10-07 07:21:46",4
19,Otha,Yost,83601e32-e349-489e-8b94-6eb09d775811,A6wG4BsQH1XhAcV,Jacynthe30@hotmail.com,193,135.22,"2021-07-12 12:23:15",8
20,Pat,Eichmann,346f0a6a-e331-4868-a7b3-8d2c07591f14,Fe3Tkrv7XE5L4Fe,Julian.Hoeger31@yahoo.com,194,753.28,"2021-03-25 09:33:12",7
